id,sim,decision,correct,lookup_us
212,0.468011,MISS,,11579
213,0.288453,MISS,,11287
214,0.265529,MISS,,12139
215,0.317706,MISS,,11983
216,0.435233,MISS,,14235
217,0.464215,MISS,,15155
218,0.531713,MISS,,17013
219,0.264482,MISS,,16204
220,0.532905,MISS,,12610
221,0.286988,MISS,,14797
222,0.219732,MISS,,13576
223,0.272432,MISS,,11602
224,0.487091,MISS,,11291
225,0.409576,MISS,,11100
226,0.373610,MISS,,24926
227,0.313431,MISS,,11013
228,0.326239,MISS,,14221
229,0.705348,MISS,,12507
230,0.563744,MISS,,13964
231,0.476747,MISS,,11011
232,0.351056,MISS,,11479
233,0.610541,MISS,,11299
234,0.498176,MISS,,11427
235,0.373164,MISS,,11660
236,0.535139,MISS,,11122
237,0.389892,MISS,,11457
238,0.445376,MISS,,10976
239,0.347313,MISS,,12563
240,0.319008,MISS,,11359
241,0.775843,MISS,,11388
242,0.396389,MISS,,11361
243,0.192014,MISS,,11019
244,0.245288,MISS,,15137
245,0.394636,MISS,,13665
246,0.584877,MISS,,11898
247,0.945516,HIT,true,12496
248,0.464287,MISS,,13890
249,0.384071,MISS,,12280
250,0.578784,MISS,,12331
251,0.675238,MISS,,11512
252,0.339864,MISS,,10955
253,0.386292,MISS,,11164
254,0.430362,MISS,,11072
255,0.923925,HIT,true,11603
256,0.444619,MISS,,11767
257,0.272129,MISS,,13184
258,0.424425,MISS,,11053
259,0.624492,MISS,,11025
260,0.548560,MISS,,11453
261,0.317174,MISS,,11011
262,0.398355,MISS,,12826
263,0.540078,MISS,,11029
264,0.325597,MISS,,11556
265,0.424060,MISS,,10978
266,0.520071,MISS,,11003
267,0.297310,MISS,,11047
268,0.487314,MISS,,10919
269,0.364163,MISS,,12602
270,0.243287,MISS,,11209
271,0.521478,MISS,,11016
272,0.268767,MISS,,11064
273,0.460569,MISS,,12038
274,0.292063,MISS,,11480
275,0.278047,MISS,,11187
276,0.482214,MISS,,12061
277,0.409721,MISS,,10963
278,0.383735,MISS,,11730
279,0.381065,MISS,,10905
280,0.385346,MISS,,11198
281,0.777829,MISS,,11045
282,0.328820,MISS,,11367
283,0.414933,MISS,,11584
284,0.396854,MISS,,11044
285,0.299466,MISS,,12184
286,0.408944,MISS,,11309
287,0.387982,MISS,,11432
288,0.444536,MISS,,11063
289,0.388251,MISS,,10858
290,0.411376,MISS,,12699
291,0.340896,MISS,,11160
292,0.333363,MISS,,11027
293,0.350159,MISS,,11091
294,0.402606,MISS,,12122
295,0.409439,MISS,,11142
296,0.600133,MISS,,11284
297,0.385652,MISS,,12270
298,0.395398,MISS,,12332
299,0.280626,MISS,,11291
300,0.391700,MISS,,12122
301,0.267596,MISS,,11040
302,0.345869,MISS,,11394
303,0.401417,MISS,,13244
304,0.341770,MISS,,13466
305,0.310461,MISS,,11149
306,0.463965,MISS,,11019
307,0.484197,MISS,,11903
308,0.755179,MISS,,13543
309,0.472897,MISS,,13582
310,0.483011,MISS,,10927
311,0.449991,MISS,,11956
312,0.392002,MISS,,11133
313,0.457917,MISS,,10864
314,0.454989,MISS,,10936
315,0.344468,MISS,,11358
316,0.302540,MISS,,10920
317,0.348397,MISS,,11809
318,0.532084,MISS,,12644
319,0.534752,MISS,,12591
320,0.386062,MISS,,11431
321,0.259000,MISS,,12701
322,0.478620,MISS,,11393
323,0.195641,MISS,,12535
324,0.402121,MISS,,11507
325,0.482186,MISS,,12162
326,0.437621,MISS,,11497
327,0.348032,MISS,,11302
328,0.331816,MISS,,11044
329,0.568634,MISS,,10853
330,0.444223,MISS,,13252
331,0.523716,MISS,,12081
332,0.202465,MISS,,12843
333,0.681086,MISS,,11163
334,0.321535,MISS,,11997
335,0.308179,MISS,,11250
336,0.361547,MISS,,11277
337,0.363004,MISS,,13939
338,0.395779,MISS,,11501
339,0.197974,MISS,,11705
340,0.295566,MISS,,10943
341,0.395314,MISS,,12921
342,0.442376,MISS,,11471
343,0.526164,MISS,,10907
344,0.472440,MISS,,11093
345,0.505920,MISS,,11043
346,0.370237,MISS,,11512
347,0.446747,MISS,,11596
348,0.281038,MISS,,11143
349,0.521398,MISS,,10988
350,0.333112,MISS,,11525
351,0.487989,MISS,,11437
352,0.248318,MISS,,11607
353,0.372407,MISS,,14396
354,0.340128,MISS,,11195
355,0.392509,MISS,,12353
356,0.257589,MISS,,11241
357,0.338896,MISS,,11394
358,0.614750,MISS,,11466
359,0.333919,MISS,,10962
360,0.479278,MISS,,12003
361,0.453823,MISS,,11936
362,0.226144,MISS,,11279
363,0.308214,MISS,,12135
364,0.327880,MISS,,12844
365,0.338810,MISS,,11677
366,0.414333,MISS,,11078
367,0.366679,MISS,,12237
368,0.341986,MISS,,14334
369,0.501376,MISS,,11721
370,0.331660,MISS,,11442
371,0.287621,MISS,,11399
372,0.701141,MISS,,11049
373,0.246380,MISS,,11019
374,0.419667,MISS,,11812
375,0.441756,MISS,,11383
376,0.404545,MISS,,12460
377,0.336770,MISS,,11107
378,0.368338,MISS,,11938
379,0.478450,MISS,,11407
380,0.722803,MISS,,11416
381,0.754286,MISS,,12510
382,0.304444,MISS,,11203
383,0.455525,MISS,,12190
384,0.307658,MISS,,11691
385,0.819666,MISS,,12570
386,0.608217,MISS,,11174
387,0.511828,MISS,,13857
388,0.280125,MISS,,11869
389,0.860116,HIT,true,11105
390,0.514916,MISS,,11161
391,0.980065,HIT,true,11302
392,0.513712,MISS,,10860
393,0.328240,MISS,,10736
394,0.504764,MISS,,10655
395,0.317235,MISS,,11767
396,0.241047,MISS,,11299
397,0.684409,MISS,,10770
398,0.427274,MISS,,10796
399,0.317960,MISS,,11771
400,0.350745,MISS,,11067
401,0.416260,MISS,,10496
402,0.506461,MISS,,11593
403,0.339740,MISS,,10651
404,0.804385,MISS,,10451
405,0.371800,MISS,,11204
406,0.422895,MISS,,10944
407,0.512204,MISS,,10792
408,0.524531,MISS,,10707
409,0.623346,MISS,,14197
410,0.396404,MISS,,12450
411,0.554404,MISS,,13151
412,0.444910,MISS,,11793
413,0.396705,MISS,,11127
414,0.321069,MISS,,11610
415,0.780430,MISS,,10750
416,0.393618,MISS,,11461
417,0.570012,MISS,,11266
418,0.529024,MISS,,11483
419,0.226810,MISS,,13796
420,0.479966,MISS,,16035
421,0.458810,MISS,,14765
422,0.452963,MISS,,15224
423,0.320075,MISS,,13396
424,0.362558,MISS,,12301
425,0.453799,MISS,,12165
426,0.325483,MISS,,11990
427,0.454759,MISS,,11276
428,0.568799,MISS,,11881
429,0.409909,MISS,,12385
430,0.438417,MISS,,11332
431,0.564102,MISS,,12206
432,0.430109,MISS,,13850
433,0.338512,MISS,,13173
434,0.379993,MISS,,11217
435,0.394644,MISS,,12145
436,0.199628,MISS,,13039
437,0.299815,MISS,,12815
438,0.475272,MISS,,12072
439,0.253529,MISS,,12545
440,0.512523,MISS,,12216
441,0.429489,MISS,,11287
442,0.314538,MISS,,14016
443,0.489252,MISS,,12572
444,0.385989,MISS,,12057
445,0.656751,MISS,,11214
446,0.492756,MISS,,11719
447,0.162244,MISS,,11647
448,0.383283,MISS,,11070
449,0.337196,MISS,,12686
450,0.527344,MISS,,11487
451,0.376170,MISS,,12298
452,0.533708,MISS,,13085
453,0.382191,MISS,,12586
454,0.691214,MISS,,13846
455,0.515771,MISS,,14190
456,0.438681,MISS,,12729
457,0.395757,MISS,,12511
458,0.486447,MISS,,13371
459,0.346657,MISS,,15546
460,0.826314,MISS,,19464
461,0.484378,MISS,,17278
462,0.218833,MISS,,20660
463,0.659385,MISS,,17456
464,0.484165,MISS,,18758
465,0.395285,MISS,,17691
466,0.402301,MISS,,18642
467,0.716997,MISS,,14497
468,0.388181,MISS,,13965
469,0.268000,MISS,,13251
470,0.474841,MISS,,20222
471,0.396633,MISS,,20125
472,0.580875,MISS,,19652
473,0.417270,MISS,,19431
474,0.512346,MISS,,18789
475,0.374402,MISS,,17249
476,0.369832,MISS,,18313
477,0.403760,MISS,,16965
478,0.409449,MISS,,19972
479,0.314159,MISS,,18490
480,0.408113,MISS,,16514
481,0.475409,MISS,,11961
482,0.362873,MISS,,12698
483,0.314337,MISS,,15629
484,0.380526,MISS,,13778
485,0.427353,MISS,,14259
486,0.493562,MISS,,14196
487,0.578189,MISS,,17091
488,0.498663,MISS,,15244
489,0.500837,MISS,,17711
490,0.658248,MISS,,18798
491,0.425313,MISS,,16426
492,0.558408,MISS,,17007
493,0.441938,MISS,,24383
494,0.318661,MISS,,20106
495,0.404301,MISS,,18658
496,0.368375,MISS,,18357
497,0.382541,MISS,,17351
498,0.484384,MISS,,15203
499,0.431786,MISS,,19112
500,0.391745,MISS,,24067
501,0.486834,MISS,,17281
502,0.309216,MISS,,18323
503,0.424743,MISS,,21477
504,0.392255,MISS,,14456
505,0.247088,MISS,,16634
506,0.376229,MISS,,18642
507,0.474875,MISS,,19678
508,0.667457,MISS,,18024
509,0.602565,MISS,,18729
510,0.584886,MISS,,14894
511,0.446868,MISS,,18050
512,0.324236,MISS,,21961
513,0.405133,MISS,,19027
514,0.519445,MISS,,19100
515,0.554153,MISS,,21241
516,0.365921,MISS,,18405
517,0.549956,MISS,,17451
518,0.463677,MISS,,20686
519,0.409032,MISS,,22309
520,0.608151,MISS,,17526
521,0.697604,MISS,,16521
522,0.251377,MISS,,15773
523,0.499388,MISS,,12407
524,0.427546,MISS,,17301
525,0.353087,MISS,,13146
526,0.448759,MISS,,11698
527,0.239149,MISS,,18999
528,0.486482,MISS,,26752
529,0.500009,MISS,,20903
530,0.284193,MISS,,15835
531,0.719894,MISS,,17451
532,0.294627,MISS,,22922
533,0.741049,MISS,,16436
534,0.464129,MISS,,19311
535,0.374654,MISS,,14499
536,0.337388,MISS,,34588
537,0.502672,MISS,,14179
538,0.927342,HIT,true,15436
539,0.391581,MISS,,15057
540,0.424808,MISS,,14696
541,0.542526,MISS,,14719
542,0.642394,MISS,,14374
543,0.408956,MISS,,15582
544,0.608322,MISS,,10999
545,0.536377,MISS,,12229
546,0.260927,MISS,,12686
547,0.485788,MISS,,12235
548,0.369862,MISS,,11040
549,0.634638,MISS,,13724
550,0.482604,MISS,,15891
551,0.488700,MISS,,18444
552,0.490040,MISS,,15660
553,0.333059,MISS,,15018
554,0.512382,MISS,,15973
555,0.338703,MISS,,15751
556,0.332124,MISS,,14642
557,0.574243,MISS,,14032
558,0.489915,MISS,,11397
559,0.336743,MISS,,12068
560,0.479197,MISS,,13995
561,0.327012,MISS,,15096
562,0.474322,MISS,,12885
563,0.450188,MISS,,15733
564,0.431108,MISS,,14030
565,0.403763,MISS,,13915
566,0.522385,MISS,,16008
567,0.284238,MISS,,15165
568,0.365673,MISS,,14144
569,0.261310,MISS,,13433
570,0.296082,MISS,,12910
571,0.364593,MISS,,15090
572,0.416234,MISS,,14663
573,0.507503,MISS,,16404
574,0.376886,MISS,,14637
575,0.579845,MISS,,14697
576,0.411871,MISS,,14121
577,0.420214,MISS,,14025
578,0.498736,MISS,,17398
579,0.396470,MISS,,14656
580,0.497161,MISS,,15677
581,0.304384,MISS,,18500
582,0.325117,MISS,,15736
583,0.330026,MISS,,17853
584,0.478184,MISS,,16537
585,0.264696,MISS,,15130
586,0.530121,MISS,,13892
587,0.501487,MISS,,16738
588,0.961449,HIT,true,17281
589,0.488359,MISS,,18546
590,0.402528,MISS,,19107
591,0.725114,MISS,,15932
592,0.385034,MISS,,16142
593,0.538634,MISS,,15607
594,0.404018,MISS,,14781
595,0.552639,MISS,,18610
596,0.391977,MISS,,15032
597,0.421357,MISS,,15466
598,0.564664,MISS,,15268
