query_index,class_id,best_same,best_cross,nn_sim,nn_same_class
14620,15250,0.945685,0.734920,0.945685,true
14630,36073,0.979957,0.824745,0.979957,true
14640,39790,0.920832,0.599935,0.920832,true
14650,11538,0.854046,0.610667,0.854046,true
14660,20716,0.957846,0.780109,0.957846,true
14670,56012,0.894428,0.554518,0.894428,true
14680,27326,0.953854,0.679961,0.953854,true
14690,8492,0.874142,0.758487,0.874142,true
14700,40255,0.951168,0.491387,0.951168,true
14710,52299,0.848195,0.487870,0.848195,true
14720,30662,0.989326,0.734729,0.989326,true
14730,11818,0.982939,0.603312,0.982939,true
14740,45029,0.956622,0.676976,0.956622,true
14750,26875,0.996885,0.564699,0.996885,true
14760,44436,0.926291,0.699905,0.926291,true
14770,345,0.943712,0.586029,0.943712,true
14780,58182,0.800231,0.526462,0.800231,true
14790,58975,0.925088,0.644299,0.925088,true
14800,2721,0.776491,0.459407,0.776491,true
14810,31527,0.938405,0.848324,0.938405,true
14820,18328,0.980722,0.781819,0.980722,true
14830,40171,0.704436,0.778913,0.778913,false
14840,60311,0.964880,0.413115,0.964880,true
14850,42340,0.847044,0.443797,0.847044,true
14860,20195,0.837547,0.740153,0.837547,true
14870,44209,0.920897,0.681422,0.920897,true
14880,41236,0.782177,0.533159,0.782177,true
14890,39379,0.984592,0.761110,0.984592,true
14900,53326,0.985746,0.639896,0.985746,true
14910,14108,0.977626,0.501470,0.977626,true
14920,36875,0.972029,0.581407,0.972029,true
14930,29981,0.601292,0.959355,0.959355,false
14940,38017,0.944036,0.469881,0.944036,true
14950,9032,0.931278,0.527253,0.931278,true
14960,16087,0.867962,0.590148,0.867962,true
14970,8915,0.882628,0.529902,0.882628,true
14980,8552,0.878510,0.739836,0.878510,true
14990,7817,0.958496,0.504567,0.958496,true
15000,15646,0.816018,0.809672,0.816018,true
15010,11827,0.996883,0.772704,0.996883,true
15020,36452,0.814125,0.611740,0.814125,true
15030,5023,0.948399,0.766329,0.948399,true
15040,10896,0.951601,0.839998,0.951601,true
15050,30634,0.900900,0.725216,0.900900,true
15060,49581,0.970309,0.480931,0.970309,true
15070,31985,0.833983,0.725664,0.833983,true
15080,2880,0.877925,0.531749,0.877925,true
15090,37989,0.990862,0.815031,0.990862,true
15100,32847,0.971580,0.621925,0.971580,true
15110,29871,0.960257,0.646826,0.960257,true
15120,4835,0.802482,0.846586,0.846586,false
15130,37472,0.886241,0.676824,0.886241,true
15140,7878,0.818721,0.432280,0.818721,true
15150,5262,0.785658,0.768477,0.785658,true
15160,56340,0.945518,0.807529,0.945518,true
15170,6235,0.915062,0.681051,0.915062,true
15180,37171,0.996980,0.513184,0.996980,true
15190,4120,0.961471,0.640254,0.961471,true
15200,55124,0.985401,0.544435,0.985401,true
15210,4943,0.963233,0.720505,0.963233,true
15220,2243,0.961342,0.610986,0.961342,true
15230,29339,0.837377,0.440040,0.837377,true
15240,46993,0.985550,0.645052,0.985550,true
15250,33379,0.904630,0.575535,0.904630,true
15260,12150,0.951868,0.755652,0.951868,true
15270,27844,0.691985,0.708213,0.708213,false
15280,55514,0.972586,0.717229,0.972586,true
15290,40522,0.937234,0.874229,0.937234,true
15300,4407,0.934661,0.854599,0.934661,true
15310,32780,0.962980,0.486362,0.962980,true
15320,35345,0.939778,0.787488,0.939778,true
15330,8430,0.892329,0.539812,0.892329,true
15340,55928,0.948407,0.781164,0.948407,true
15350,11326,0.950101,0.722450,0.950101,true
15360,24730,0.954116,0.875304,0.954116,true
15370,12140,0.994100,0.785737,0.994100,true
15380,35261,0.995965,0.667972,0.995965,true
15390,52025,0.903277,0.598407,0.903277,true
15400,8323,0.989630,0.926347,0.989630,true
15410,52276,0.827083,0.512637,0.827083,true
15420,29393,0.922653,0.708768,0.922653,true
15430,42715,0.798860,0.524875,0.798860,true
15440,32259,0.991743,0.572788,0.991743,true
15450,57528,0.602880,0.617404,0.617404,false
15460,17570,0.922869,0.660934,0.922869,true
15470,42603,0.982084,0.565108,0.982084,true
15480,58079,0.997452,0.506163,0.997452,true
15490,19561,0.996330,0.701081,0.996330,true
15500,54264,0.885589,0.710586,0.885589,true
15510,22336,0.861779,0.479658,0.861779,true
15520,25828,0.980453,0.629808,0.980453,true
15530,9174,0.996100,0.659548,0.996100,true
15540,49943,0.941685,0.557539,0.941685,true
