group,sim
cross,-0.036049
cross,-0.089645
cross,0.068700
cross,0.022542
cross,0.100854
cross,-0.053228
cross,0.090928
cross,0.037093
cross,-0.029135
cross,0.062476
cross,0.057066
cross,0.278445
cross,0.080360
cross,0.081318
cross,-0.015480
cross,0.174162
cross,0.049722
cross,-0.036256
cross,0.081088
cross,0.123282
cross,0.055599
cross,-0.036028
cross,0.214034
cross,-0.049808
cross,0.045265
cross,-0.029558
cross,0.020495
cross,0.023344
cross,0.012022
cross,-0.011581
cross,-0.048264
cross,0.022979
cross,0.010057
cross,-0.041012
cross,0.081933
cross,-0.056781
cross,0.131881
cross,0.026534
cross,0.052478
cross,0.029083
cross,0.166904
cross,-0.025918
cross,-0.041573
cross,-0.036499
cross,-0.003429
cross,0.110665
cross,0.106329
cross,-0.092356
cross,0.033702
cross,-0.043782
cross,-0.001442
cross,0.051526
cross,0.016031
cross,0.134056
cross,0.074300
cross,-0.027436
cross,-0.058411
cross,0.012963
cross,-0.037176
cross,0.052793
cross,0.094320
cross,0.033998
cross,0.004670
cross,0.009031
cross,0.004490
cross,0.009852
cross,0.023381
cross,0.064454
cross,0.005672
cross,0.210968
cross,0.049152
cross,-0.064522
cross,-0.060784
cross,0.062104
cross,0.274135
cross,0.008673
cross,0.125908
cross,0.125620
cross,0.078804
cross,0.165160
cross,-0.028578
cross,0.011375
cross,0.011240
cross,0.034039
cross,0.084885
cross,0.137307
cross,0.045210
cross,0.069843
cross,0.095981
cross,0.001813
cross,0.107403
cross,0.049781
cross,0.287836
cross,0.256717
cross,0.089739
cross,-0.032462
cross,-0.024742
cross,0.034818
cross,-0.014734
cross,0.053577
cross,0.006584
cross,0.167463
cross,0.075248
cross,-0.023927
cross,-0.115751
cross,0.059456
cross,-0.008486
cross,-0.083976
cross,0.076818
cross,0.015518
cross,-0.096541
cross,0.021882
cross,0.045637
cross,0.074719
cross,0.031574
cross,0.002291
cross,0.029714
cross,0.082497
cross,-0.089131
cross,-0.036682
cross,0.123062
cross,-0.017566
cross,0.089595
cross,-0.028880
cross,-0.088398
cross,0.043562
cross,-0.039930
cross,0.098212
cross,-0.016438
cross,0.091415
cross,0.007036
cross,-0.004526
cross,0.077161
cross,0.169335
cross,0.083214
cross,0.038294
cross,0.044862
cross,0.023910
cross,-0.000180
cross,0.001855
cross,0.096246
cross,0.066230
cross,0.091509
cross,-0.037183
cross,0.071542
cross,0.112429
cross,0.026114
cross,-0.037539
cross,-0.027061
cross,0.331591
cross,0.391494
cross,-0.013310
cross,0.009006
cross,0.056176
cross,-0.046149
cross,0.068478
cross,0.027698
cross,0.263956
cross,0.127175
cross,0.173082
cross,0.209568
cross,0.092720
cross,0.035405
cross,0.135798
cross,0.171782
cross,-0.009813
cross,0.169517
